X_m, Pressure_Pa
8.12398866e-02, 1.15200914e+05
8.13314766e-02, 1.14661000e+05
8.14232901e-02, 1.14118758e+05
8.15153196e-02, 1.13570625e+05
8.16075653e-02, 1.13012992e+05
8.17000419e-02, 1.12443750e+05
8.17927346e-02, 1.11864500e+05
8.18856433e-02, 1.11281102e+05
8.19787830e-02, 1.10701258e+05
8.20721462e-02, 1.10130695e+05
8.21657255e-02, 1.09569016e+05
8.22595358e-02, 1.09008578e+05
8.23535696e-02, 1.08440102e+05
8.24478269e-02, 1.07863984e+05
8.25423151e-02, 1.07299594e+05
8.26370269e-02, 1.06790125e+05
8.27319697e-02, 1.06411953e+05
8.28271359e-02, 1.06251492e+05
8.29225257e-02, 1.06303367e+05
8.30181465e-02, 1.06470297e+05
8.31140056e-02, 1.06616422e+05
8.32100809e-02, 1.06571664e+05
8.33063945e-02, 1.06119188e+05
8.34029391e-02, 1.05000109e+05
8.34997147e-02, 1.03092992e+05
8.35967213e-02, 1.00509453e+05
8.36939588e-02, 9.74914531e+04
8.37914348e-02, 9.42375781e+04
8.38891417e-02, 9.06403906e+04
8.39870796e-02, 8.66571875e+04
8.40852559e-02, 8.24782969e+04
8.41836631e-02, 7.80918906e+04
8.42823088e-02, 7.33902344e+04
8.43811929e-02, 6.83392656e+04
8.44803154e-02, 6.28762500e+04
8.45796689e-02, 5.73276211e+04
8.46792683e-02, 5.30587500e+04
8.47790986e-02, 5.40879648e+04
8.48791748e-02, 6.93634375e+04
8.49794894e-02, 1.04587602e+05
8.50800425e-02, 1.45346203e+05
8.51808339e-02, 1.69684406e+05
8.52818713e-02, 1.72723313e+05
8.53831545e-02, 1.64993266e+05
8.54846761e-02, 1.56644563e+05
8.55864361e-02, 1.50343625e+05
8.56884494e-02, 1.46438016e+05
8.57907012e-02, 1.45274984e+05
8.58931988e-02, 1.45985672e+05
8.59959424e-02, 1.47219547e+05
8.60989317e-02, 1.48363219e+05
8.62021744e-02, 1.49159656e+05
8.63056555e-02, 1.49822031e+05
8.64093900e-02, 1.50601875e+05
8.65133703e-02, 1.51580359e+05
8.66176039e-02, 1.52673625e+05
8.67220834e-02, 1.53741531e+05
8.68268162e-02, 1.54729938e+05
8.69317949e-02, 1.55710781e+05
8.70370269e-02, 1.56760094e+05
8.71425122e-02, 1.57862609e+05
8.72482583e-02, 1.58961422e+05
8.73542503e-02, 1.60053750e+05
8.74604955e-02, 1.61191938e+05
8.75669941e-02, 1.62400953e+05
8.76737535e-02, 1.63645219e+05
8.77807662e-02, 1.64881453e+05
8.78880322e-02, 1.66122531e+05
8.79955590e-02, 1.67416563e+05
8.81033465e-02, 1.68782969e+05
8.82113874e-02, 1.70192375e+05
8.83196890e-02, 1.71571734e+05
8.84282514e-02, 1.72819797e+05
8.85370672e-02, 1.73910406e+05
8.86461511e-02, 1.74923016e+05
8.87554958e-02, 1.75902047e+05
8.88651013e-02, 1.76832969e+05
8.89749676e-02, 1.77700672e+05
8.90851021e-02, 1.78496234e+05
8.91954973e-02, 1.79214438e+05
